#{"t_start": 1672841643.1367772, "env_id": null}
r,l,t
24,39,1217.69827
24,39,1219.097131
24,39,1220.524286
28,39,1221.832702
24,39,1223.227974
136,155,1228.508466
35,46,1230.082602
53,68,1232.432628
30,41,1233.96343
34,45,1235.516004
33,44,1236.99712
53,68,1239.345962
24,39,1240.801078
28,39,1242.134563
24,35,1243.401123
95,108,1247.115589
29,40,1248.54509
28,39,1249.999256
54,69,1252.34915
24,39,1253.740458
24,39,1255.113762
24,35,1256.294109
24,39,1257.673065
42,53,1259.529982
24,39,1260.923306
63,76,1263.513585
35,46,1265.173775
52,67,1267.450454
53,68,1269.765143
52,67,1272.103257
52,67,1274.508468
24,39,1275.847603
24,39,1277.192028
53,68,1279.577899
31,42,1281.066544
31,42,1282.519737
28,39,1283.91373
33,44,1285.482237
54,69,1287.918417
54,69,1290.371589
29,40,1291.779248
31,42,1293.194232
24,39,1294.550552
24,39,1295.928011
29,40,1297.327746
52,67,1299.728125
29,40,1301.124611
54,69,1303.65229
82,103,1307.111061
52,67,1309.515971
67,80,1312.304394
52,67,1314.69545
24,39,1316.091455
54,69,1318.463116
33,44,1319.98677
52,67,1322.383973
28,39,1323.659755
98,111,1327.5209
23,38,1328.914827
24,39,1330.232524
53,68,1332.682296
30,41,1334.147452
28,39,1335.502721
24,39,1336.848745
24,39,1338.271633
53,68,1340.711587
24,39,1342.154596
26,37,1343.451783
54,69,1345.830601
30,41,1347.303235
52,67,1349.645122
33,44,1351.223017
54,69,1353.547968
52,67,1355.85892
24,39,1357.24801
24,39,1358.618402
52,67,1360.942025
24,39,1362.312416
29,40,1363.681993
54,69,1366.095057
53,68,1368.507616
52,67,1370.892477
30,41,1372.310215
35,46,1373.96153
24,39,1375.419997
24,39,1376.792477
28,39,1378.206678
54,69,1380.591354
52,67,1382.979795
54,69,1385.352796
53,68,1387.715292
53,68,1390.070451
52,67,1392.449621
32,43,1393.954852
52,67,1396.329229
24,39,1397.630497
30,41,1399.148884
30,41,1400.526131
32,43,1402.087107
29,40,1403.498017
54,69,1405.991266
54,69,1408.329583
53,68,1410.680851
36,47,1412.356971
24,39,1413.7682
52,67,1416.076822
24,39,1417.483587
29,40,1418.886985
24,35,1420.144385
29,40,1421.576694
53,68,1423.86842
31,42,1425.331516
54,69,1427.852342
24,39,1429.185977
40,51,1430.999688
24,39,1432.358565
34,49,1434.099429
28,39,1435.498674
24,39,1436.9374
52,67,1439.188755
24,39,1440.543186
31,42,1442.01447
54,69,1444.370446
54,69,1446.782516
24,35,1448.0515
24,39,1449.374381
24,39,1450.667443
108,121,1454.892972
33,44,1456.494902
53,68,1458.818808
28,39,1460.118041
36,47,1461.77146
31,42,1463.304213
33,44,1464.825567
67,80,1467.569451
53,68,1469.845498
52,67,1472.128348
29,40,1473.544984
24,39,1474.918346
53,68,1477.264118
1,12,1477.729379
28,39,1479.107916
29,40,1480.421825
24,39,1481.821214
24,39,1483.185918
24,39,1484.57861
89,102,1488.095489
24,39,1489.403987
34,45,1491.005696
52,67,1493.198788
32,43,1494.781991
35,46,1496.427372
35,46,1498.039794
54,69,1500.366698
54,69,1502.802994
52,67,1505.062913
24,39,1506.407568
24,39,1507.81319
33,44,1509.366179
54,69,1511.718023
53,68,1514.044384
32,43,1515.585122
24,39,1516.910103
29,40,1518.291159
52,67,1520.528734
33,44,1522.064858
52,67,1524.385012
24,39,1525.805637
24,39,1527.200271
29,40,1528.555427
53,68,1530.852402
29,40,1532.203373
54,69,1534.556127
29,40,1535.965811
53,68,1538.337309
33,44,1539.8433
29,40,1541.246561
53,68,1543.627289
24,39,1545.039846
31,42,1546.414586
53,68,1548.743451
53,68,1551.079196
29,40,1552.485665
29,40,1553.887702
53,68,1556.251127
24,39,1557.663549
52,67,1559.931438
54,69,1562.290869
31,42,1563.708283
52,67,1565.994897
52,67,1568.271405
53,68,1570.582171
37,48,1572.267169
54,69,1574.600274
53,68,1576.928653
83,108,1580.612255
96,107,1584.206287
30,41,1585.570843
30,41,1586.92754
31,42,1588.420275
30,41,1589.84635
54,69,1592.201362
31,42,1593.696298
38,49,1595.343262
53,68,1597.598394
52,67,1599.915887
31,42,1601.345463
54,69,1603.704655
24,39,1605.01849
53,68,1607.363693
24,39,1608.73046
24,39,1610.172252
54,69,1612.53286
27,38,1613.908702
24,35,1615.014697
52,67,1617.323068
24,39,1618.734967
24,39,1620.180723
31,42,1621.560362
82,107,1625.249039
36,47,1626.872532
53,68,1629.170474
32,43,1630.570364
53,68,1632.82752
53,68,1635.203464
24,39,1636.594465
53,68,1638.931975
52,67,1641.272652
33,44,1642.763484
24,39,1644.152016
54,69,1646.635917
67,84,1649.603616
29,40,1651.014062
53,68,1653.407295
54,69,1655.845342
31,42,1657.333203
52,67,1659.58923
29,40,1660.998097
24,39,1662.425757
28,39,1663.814574
54,69,1666.328097
24,39,1667.706778
53,68,1669.941373
29,40,1671.347323
36,47,1673.013747
54,69,1675.340122
31,42,1676.746783
31,42,1678.237044
24,39,1679.600751
32,43,1681.052128
54,69,1683.397659
54,69,1685.732966
28,39,1687.131595
28,39,1688.390765
33,44,1689.890131
24,39,1691.243009
24,35,1692.509161
52,67,1694.836276
91,104,1698.326493
24,39,1699.633584
24,39,1701.029272
90,103,1704.606499
53,68,1706.91423
53,68,1709.245803
52,67,1711.589297
52,67,1713.811109
28,39,1715.210355
31,42,1716.690535
54,69,1719.059992
28,39,1720.490733
54,69,1722.819009
52,67,1725.216671
29,40,1726.575484
32,43,1728.039292
30,41,1729.45474
24,39,1730.751183
24,39,1732.125965
114,131,1736.573632
24,39,1738.02123
34,47,1739.569269
24,39,1740.965084
28,39,1742.344812
31,42,1743.744227
53,68,1746.084645
85,102,1749.649444
65,74,1752.179757
28,39,1753.49403
24,39,1754.861275
